family,params,silhouette,calinski_harabasz,davies_bouldin,n_clusters,noise_ratio,weighted_score
agglomerative,"{'n_clusters': 2, 'linkage': 'average', 'metric': 'euclidean'}",0.6224687226949522,12.226013417820676,0.27501397676309075,2,0.0,0.813793103448279
agglomerative,"{'n_clusters': 3, 'linkage': 'average', 'metric': 'euclidean'}",0.6204383115436211,12.217580532640664,0.2753506062930416,3,0.0,0.7913793103448312
agglomerative,"{'n_clusters': 4, 'linkage': 'average', 'metric': 'euclidean'}",0.6196140972374914,12.222230732518929,0.27540935752127516,4,0.0,0.7758620689655211
agglomerative,"{'n_clusters': 5, 'linkage': 'average', 'metric': 'euclidean'}",0.6186188451381588,12.203203613635681,0.27593359885785784,5,0.0,0.7534482758620732
agglomerative,"{'n_clusters': 2, 'linkage': 'complete', 'metric': 'euclidean'}",0.6201781355532879,15.10339431734891,2.5512979296552944,2,0.0,0.7379310344827632
agglomerative,"{'n_clusters': 6, 'linkage': 'average', 'metric': 'euclidean'}",0.6172001881922274,12.1782263427515,0.2764232133332161,6,0.0,0.7310344827586254
agglomerative,"{'n_clusters': 7, 'linkage': 'average', 'metric': 'euclidean'}",0.6163366184777225,12.165420684437343,0.27662225576882854,7,0.0,0.7086206896551774
agglomerative,"{'n_clusters': 3, 'linkage': 'complete', 'metric': 'euclidean'}",0.6150463736851854,13.439603004576036,1.9720774450842546,3,0.0,0.6879310344827639
agglomerative,"{'n_clusters': 4, 'linkage': 'complete', 'metric': 'euclidean'}",0.6148644216659769,12.863621352121188,1.5673282153873611,4,0.0,0.6775862068965574
agglomerative,"{'n_clusters': 5, 'linkage': 'complete', 'metric': 'euclidean'}",0.6147013812909028,12.569201782241054,1.2885625869236985,5,0.0,0.6775862068965572
agglomerative,"{'n_clusters': 8, 'linkage': 'average', 'metric': 'euclidean'}",0.6138075352613481,12.138038840357313,0.2772084686541203,8,0.0,0.6655172413793161
agglomerative,"{'n_clusters': 9, 'linkage': 'average', 'metric': 'euclidean'}",0.6128225452754289,12.11779110744767,0.27752173002564523,9,0.0,0.6482758620689716
agglomerative,"{'n_clusters': 7, 'linkage': 'complete', 'metric': 'euclidean'}",0.6123928002570763,12.341811226578603,1.125909502367524,7,0.0,0.6448275862069027
agglomerative,"{'n_clusters': 6, 'linkage': 'complete', 'metric': 'euclidean'}",0.6123579130019827,12.454204407945737,1.3639157932181138,6,0.0,0.6310344827586272
kmeans,"{'n_clusters': 2, 'n_init': 10, 'max_iter': 300}",0.04620442285035469,307.3771659366897,3.571643747313559,2,0.0,0.6206896551724204
agglomerative,"{'n_clusters': 8, 'linkage': 'complete', 'metric': 'euclidean'}",0.6114775006006694,12.270783260043574,1.0713036117159054,8,0.0,0.6172413793103515
agglomerative,"{'n_clusters': 10, 'linkage': 'average', 'metric': 'euclidean'}",0.611611097614862,12.098493168743424,0.27787563670680604,10,0.0,0.6086206896551792
kmeans,"{'n_clusters': 3, 'n_init': 10, 'max_iter': 300}",0.05164922209720963,256.2042268666887,4.318895273994848,3,0.0,0.5913793103448347
agglomerative,"{'n_clusters': 11, 'linkage': 'average', 'metric': 'euclidean'}",0.6110267544873799,12.084977619914332,0.278112870369109,11,0.0,0.5827586206896624
kmeans,"{'n_clusters': 5, 'n_init': 10, 'max_iter': 300}",0.04644377117067353,188.30468376207813,4.08873948380223,5,0.0,0.5810344827586279
agglomerative,"{'n_clusters': 9, 'linkage': 'complete', 'metric': 'euclidean'}",0.6106409305384882,12.19465976145574,0.9269155200319535,9,0.0,0.5689655172413868
agglomerative,"{'n_clusters': 12, 'linkage': 'average', 'metric': 'euclidean'}",0.6106753519195965,12.076677086582599,0.2782910800221107,12,0.0,0.5655172413793179
kmeans,"{'n_clusters': 6, 'n_init': 10, 'max_iter': 300}",0.04534880143756214,167.62279719001097,4.0721834837481925,6,0.0,0.5655172413793179
kmeans,"{'n_clusters': 7, 'n_init': 10, 'max_iter': 300}",0.04497709894362641,154.17169795902427,3.842964387626537,7,0.0,0.5568965517241456
kmeans,"{'n_clusters': 8, 'n_init': 10, 'max_iter': 300}",0.044118681137353975,139.91463439450584,3.794411580348923,8,0.0,0.5465517241379388
kmeans,"{'n_clusters': 4, 'n_init': 10, 'max_iter': 300}",0.0427238824103815,218.86618661140892,4.188207858366476,4,0.0,0.5413793103448356
agglomerative,"{'n_clusters': 12, 'linkage': 'complete', 'metric': 'euclidean'}",0.6101036924791229,12.069855531188399,0.27843844853153227,12,0.0,0.539655172413801
agglomerative,"{'n_clusters': 10, 'linkage': 'complete', 'metric': 'euclidean'}",0.6100093437072756,12.16707506962587,0.9026090301523567,10,0.0,0.5362068965517321
agglomerative,"{'n_clusters': 11, 'linkage': 'complete', 'metric': 'euclidean'}",0.6100468453897157,12.114575212266503,0.7036693159324487,11,0.0,0.5310344827586289
dbscan,"{'eps': 47.342706727071224, 'min_samples': 5}",0.28970068908566116,14.263318677953466,1.3313783332845017,2,0.03462998102466793,0.5258620689655255
kmeans,"{'n_clusters': 9, 'n_init': 10, 'max_iter': 300}",0.041970011438310494,131.12852361060263,3.927408547539172,9,0.0,0.5137931034482843
agglomerative,"{'n_clusters': 13, 'linkage': 'average', 'metric': 'euclidean'}",0.6097865771684077,12.066911731770618,0.2785507810444613,13,0.0,0.5051724137931121
agglomerative,"{'n_clusters': 13, 'linkage': 'complete', 'metric': 'euclidean'}",0.6097865771684077,12.066911731770617,0.2785507810444613,13,0.0,0.5000000000000087
kmeans,"{'n_clusters': 10, 'n_init': 10, 'max_iter': 300}",0.0418040085335145,122.41878205765147,3.8473466215905234,10,0.0,0.49827586206897423
agglomerative,"{'n_clusters': 2, 'linkage': 'ward', 'metric': 'euclidean'}",0.010874138110057807,210.34613278502314,3.6261649489268355,2,0.0,0.4982758620689742
kmeans,"{'n_clusters': 11, 'n_init': 10, 'max_iter': 300}",0.03319283091856872,114.87293527743479,4.115928279435971,11,0.0,0.46724137931035403
agglomerative,"{'n_clusters': 14, 'linkage': 'average', 'metric': 'euclidean'}",0.5595884651774042,11.833065942510236,0.2848541379075372,14,0.0,0.4620689655172507
agglomerative,"{'n_clusters': 14, 'linkage': 'complete', 'metric': 'euclidean'}",0.5595884651774042,11.833065942510233,0.28485413790753716,14,0.0,0.46034482758621625
kmeans,"{'n_clusters': 12, 'n_init': 10, 'max_iter': 300}",0.03225886707714842,107.93072031538289,4.074352559306147,12,0.0,0.45517241379311285
agglomerative,"{'n_clusters': 15, 'linkage': 'complete', 'metric': 'euclidean'}",0.5134043276194177,12.010649944040694,0.7125948005396882,15,0.0,0.43103448275863054
agglomerative,"{'n_clusters': 15, 'linkage': 'average', 'metric': 'euclidean'}",0.5245883627945918,11.53191186918377,0.29132929235665495,15,0.0,0.43103448275863054
agglomerative,"{'n_clusters': 3, 'linkage': 'ward', 'metric': 'euclidean'}",0.009019188784060661,158.96987603118617,4.5096297289014515,3,0.0,0.4224137931034583
kmeans,"{'n_clusters': 13, 'n_init': 10, 'max_iter': 300}",0.030461998151991274,101.48700518623562,4.350065846818432,13,0.0,0.4120689655172516
kmeans,"{'n_clusters': 14, 'n_init': 10, 'max_iter': 300}",0.029007051703844006,96.06926602276052,4.344102812505619,14,0.0,0.4017241379310448
kmeans,"{'n_clusters': 15, 'n_init': 10, 'max_iter': 300}",0.021898163859820487,91.06749536514273,4.43070688679368,15,0.0,0.37586206896552804
agglomerative,"{'n_clusters': 4, 'linkage': 'ward', 'metric': 'euclidean'}",0.001219567503936774,129.91217013129472,4.974325781149881,4,0.0,0.37586206896552804
agglomerative,"{'n_clusters': 5, 'linkage': 'ward', 'metric': 'euclidean'}",-0.011485866016482842,113.01786188283123,4.3172073935391655,5,0.0,0.36896551724139026
dbscan,"{'eps': 42.96384350945039, 'min_samples': 5}",0.18461966209523048,8.331400226659191,1.3974511552260438,5,0.04965211891208096,0.36551724137932134
agglomerative,"{'n_clusters': 6, 'linkage': 'ward', 'metric': 'euclidean'}",-0.008406432375844855,101.57878487704215,4.589901496353007,6,0.0,0.3551724137931146
agglomerative,"{'n_clusters': 7, 'linkage': 'ward', 'metric': 'euclidean'}",-0.008913642108414666,93.85590989055801,4.717901487853629,7,0.0,0.32758620689656337
agglomerative,"{'n_clusters': 8, 'linkage': 'ward', 'metric': 'euclidean'}",-0.014739369093262195,86.07677493690085,4.82162292632589,8,0.0,0.28793103448277096
agglomerative,"{'n_clusters': 9, 'linkage': 'ward', 'metric': 'euclidean'}",-0.013370438021413376,79.902004859618,5.065040022812635,9,0.0,0.2775862068965642
agglomerative,"{'n_clusters': 10, 'linkage': 'ward', 'metric': 'euclidean'}",-0.017608759661945656,74.37717165887838,4.824196340601032,10,0.0,0.26551724137932303
agglomerative,"{'n_clusters': 14, 'linkage': 'ward', 'metric': 'euclidean'}",-0.0238913120710096,58.315267039465944,5.6376905158000215,14,0.0,0.22241379310346174
agglomerative,"{'n_clusters': 11, 'linkage': 'ward', 'metric': 'euclidean'}",-0.02790943782474274,69.24242647916394,5.061662442254027,11,0.0,0.21034482758622058
agglomerative,"{'n_clusters': 15, 'linkage': 'ward', 'metric': 'euclidean'}",-0.02413041116044189,55.61006213888699,5.655508198289098,15,0.0,0.2051724137931172
agglomerative,"{'n_clusters': 13, 'linkage': 'ward', 'metric': 'euclidean'}",-0.02518102451076029,61.381193602792926,5.871431005224002,13,0.0,0.20344827586208275
agglomerative,"{'n_clusters': 12, 'linkage': 'ward', 'metric': 'euclidean'}",-0.026294884679533188,64.9998597455394,6.15855471753272,12,0.0,0.19655172413794494
dbscan,"{'eps': 62.44471991550356, 'min_samples': 5}",,,,1,0.01739405439595193,1.7319479184152442e-14
dbscan,"{'eps': 83.86166340669494, 'min_samples': 5}",,,,1,0.008697027197975965,1.7319479184152442e-14
dbscan,"{'eps': 45.09667947855466, 'min_samples': 10}",,,,1,0.04601518026565465,1.7319479184152442e-14
dbscan,"{'eps': 49.37198916849043, 'min_samples': 10}",,,,1,0.03289057558507274,1.7319479184152442e-14
dbscan,"{'eps': 63.29978759055474, 'min_samples': 10}",,,,1,0.01597090449082859,1.7319479184152442e-14
dbscan,"{'eps': 84.04318358504428, 'min_samples': 10}",,,,1,0.008380771663504111,1.7319479184152442e-14
dbscan,"{'eps': 46.067372620571106, 'min_samples': 20}",,,,1,0.04316888045540797,1.7319479184152442e-14
dbscan,"{'eps': 50.160658905099226, 'min_samples': 20}",,,,1,0.03336495888678052,1.7319479184152442e-14
dbscan,"{'eps': 63.838611756273224, 'min_samples': 20}",,,,1,0.015338393421884883,1.7319479184152442e-14
dbscan,"{'eps': 84.38145731085949, 'min_samples': 20}",,,,1,0.007748260594560405,1.7319479184152442e-14
